"PlatformID","Name","Description","Active","PlatformType"
"SampleSSHKeyGroup","[Sample SSH Key Group Platform]","Duplicate this platform for a new SSH Key Accounts Group","False","group"
"SampleGroup","[Sample Password Group Platform]","Duplicate this platform for a new Accounts Group","False","group"
"WinLooselyDevice","Windows Loosely Device","","False","regular"
"UnixSSHKeys","Unix via SSH Keys","","True","Regular"
"WinDesktopLocal","Windows Desktop Local Accounts","","True","regular"
"WinLocalWMI","Windows Local Accounts WMI","","True","regular"
"WindowsDomainLDAP","Windows Domain Accounts via LDAP","","False","regular"
"WinServerLocal","Windows Server Local Accounts","","True","regular"
"WindowsDesktop-NonProd-LocalAccounts","Windows Desktop - NonProd - Local Accounts","","True","regular"
"ThisisaverylongnamedplatformdesignedtointentionallyexceedtheUIsabilitytobedisplayedd","This is a very long named platform designed to intentionally exceed the UIs ability to be displayedd","","True","regular"
"UnixSSH","Unix via SSH","","True","Regular"
"WindowsDesktop-PROD-LocalAccounts","Windows Desktop - PROD - Local Accounts","","True","regular"
"PSMSecureConnect","","","False","regular"
"Test-Rest-API-Chain","Test-Rest-API-Chain","","True","Regular"
"SampleRestAPIPlatform","Sample REST API Platform","","True","Regular"
